Flag,Short_Name,Full_Name
1,B01001Ae20,SEX BY AGE (WHITE ALONE): Female: 10 to 14 years: People who are White alone -- (Estimate)
1,B01001Ae21,SEX BY AGE (WHITE ALONE): Female: 15 to 17 years: People who are White alone -- (Estimate)
1,B01001Ae22,SEX BY AGE (WHITE ALONE): Female: 18 and 19 years: People who are White alone -- (Estimate)
1,B01001Ae23,SEX BY AGE (WHITE ALONE): Female: 20 to 24 years: People who are White alone -- (Estimate)
1,B01001Ae24,SEX BY AGE (WHITE ALONE): Female: 25 to 29 years: People who are White alone -- (Estimate)
1,B01001Ae25,SEX BY AGE (WHITE ALONE): Female: 30 to 34 years: People who are White alone -- (Estimate)
1,B01001Ae26,SEX BY AGE (WHITE ALONE): Female: 35 to 44 years: People who are White alone -- (Estimate)
1,B01001Ae27,SEX BY AGE (WHITE ALONE): Female: 45 to 54 years: People who are White alone -- (Estimate)
1,B01001Ae28,SEX BY AGE (WHITE ALONE): Female: 55 to 64 years: People who are White alone -- (Estimate)
1,B01001Ae29,SEX BY AGE (WHITE ALONE): Female: 65 to 74 years: People who are White alone -- (Estimate)
1,B01001Ae30,SEX BY AGE (WHITE ALONE): Female: 75 to 84 years: People who are White alone -- (Estimate)
1,B01001Ae31,SEX BY AGE (WHITE ALONE): Female: 85 years and over: People who are White alone -- (Estimate)
1,B01001Be1,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Total: Black or African American alone -- (Estimate)
1,B01001Be2,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: Black or African American alone -- (Estimate)
1,B01001Be3,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: Under 5 years: Black or African American alone -- (Estimate)
1,B01001Be4,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 5 to 9 years: Black or African American alone -- (Estimate)
1,B01001Be5,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 10 to 14 years: Black or African American alone -- (Estimate)
1,B01001Be6,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 15 to 17 years: Black or African American alone -- (Estimate)
1,B01001Be7,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 18 and 19 years: Black or African American alone -- (Estimate)
1,B01001Be8,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 20 to 24 years: Black or African American alone -- (Estimate)
1,B01001Be9,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 25 to 29 years: Black or African American alone -- (Estimate)
1,B01001Be10,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 30 to 34 years: Black or African American alone -- (Estimate)
1,B01001Be11,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 35 to 44 years: Black or African American alone -- (Estimate)
1,B01001Be12,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 45 to 54 years: Black or African American alone -- (Estimate)
1,B01001Be13,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 55 to 64 years: Black or African American alone -- (Estimate)
1,B01001Be14,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 65 to 74 years: Black or African American alone -- (Estimate)
1,B01001Be15,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 75 to 84 years: Black or African American alone -- (Estimate)
1,B01001Be16,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 85 years and over: Black or African American alone -- (Estimate)
1,B01001Be17,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: Black or African American alone -- (Estimate)
1,B01001Be18,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: Under 5 years: Black or African American alone -- (Estimate)
1,B01001Be19,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 5 to 9 years: Black or African American alone -- (Estimate)
1,B01001Be20,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 10 to 14 years: Black or African American alone -- (Estimate)
1,B01001Be21,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 15 to 17 years: Black or African American alone -- (Estimate)
1,B01001Be22,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 18 and 19 years: Black or African American alone -- (Estimate)
1,B01001Be23,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 20 to 24 years: Black or African American alone -- (Estimate)
1,B01001Be24,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 25 to 29 years: Black or African American alone -- (Estimate)
1,B01001Be25,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 30 to 34 years: Black or African American alone -- (Estimate)
1,B01001Be26,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 35 to 44 years: Black or African American alone -- (Estimate)
1,B01001Be27,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 45 to 54 years: Black or African American alone -- (Estimate)
1,B01001Be28,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 55 to 64 years: Black or African American alone -- (Estimate)
1,B01001Be29,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 65 to 74 years: Black or African American alone -- (Estimate)
1,B01001Be30,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 75 to 84 years: Black or African American alone -- (Estimate)
1,B01001Be31,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 85 years and over: Black or African American alone -- (Estimate)
1,B01001He1,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Total: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He2,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He3,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: Under 5 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He4,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 5 to 9 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He5,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 10 to 14 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He6,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 15 to 17 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He7,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 18 and 19 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He8,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 20 to 24 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He9,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 25 to 29 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He10,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 30 to 34 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He11,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 35 to 44 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He12,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 45 to 54 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He13,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 55 to 64 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He14,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 65 to 74 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He15,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 75 to 84 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He16,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Male: 85 years and over: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He17,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He18,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: Under 5 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He19,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 5 to 9 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He20,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 10 to 14 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He21,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 15 to 17 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He22,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 18 and 19 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He23,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 20 to 24 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He24,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 25 to 29 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He25,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 30 to 34 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He26,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 35 to 44 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He27,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 45 to 54 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He28,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 55 to 64 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He29,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 65 to 74 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He30,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 75 to 84 years: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001He31,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO): Female: 85 years and over: White alone, not Hispanic or Latino population -- (Estimate)"
1,B01001Ie1,SEX BY AGE (HISPANIC OR LATINO): Total: Hispanic or Latino population -- (Estimate)
1,B01001Ie2,SEX BY AGE (HISPANIC OR LATINO): Male: Hispanic or Latino population -- (Estimate)
1,B01001Ie3,SEX BY AGE (HISPANIC OR LATINO): Male: Under 5 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie4,SEX BY AGE (HISPANIC OR LATINO): Male: 5 to 9 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie5,SEX BY AGE (HISPANIC OR LATINO): Male: 10 to 14 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie6,SEX BY AGE (HISPANIC OR LATINO): Male: 15 to 17 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie7,SEX BY AGE (HISPANIC OR LATINO): Male: 18 and 19 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie8,SEX BY AGE (HISPANIC OR LATINO): Male: 20 to 24 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie9,SEX BY AGE (HISPANIC OR LATINO): Male: 25 to 29 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie10,SEX BY AGE (HISPANIC OR LATINO): Male: 30 to 34 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie11,SEX BY AGE (HISPANIC OR LATINO): Male: 35 to 44 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie12,SEX BY AGE (HISPANIC OR LATINO): Male: 45 to 54 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie13,SEX BY AGE (HISPANIC OR LATINO): Male: 55 to 64 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie14,SEX BY AGE (HISPANIC OR LATINO): Male: 65 to 74 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie15,SEX BY AGE (HISPANIC OR LATINO): Male: 75 to 84 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie16,SEX BY AGE (HISPANIC OR LATINO): Male: 85 years and over: Hispanic or Latino population -- (Estimate)
1,B01001Ie17,SEX BY AGE (HISPANIC OR LATINO): Female: Hispanic or Latino population -- (Estimate)
1,B01001Ie18,SEX BY AGE (HISPANIC OR LATINO): Female: Under 5 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie19,SEX BY AGE (HISPANIC OR LATINO): Female: 5 to 9 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie20,SEX BY AGE (HISPANIC OR LATINO): Female: 10 to 14 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie21,SEX BY AGE (HISPANIC OR LATINO): Female: 15 to 17 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie22,SEX BY AGE (HISPANIC OR LATINO): Female: 18 and 19 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie23,SEX BY AGE (HISPANIC OR LATINO): Female: 20 to 24 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie24,SEX BY AGE (HISPANIC OR LATINO): Female: 25 to 29 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie25,SEX BY AGE (HISPANIC OR LATINO): Female: 30 to 34 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie26,SEX BY AGE (HISPANIC OR LATINO): Female: 35 to 44 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie27,SEX BY AGE (HISPANIC OR LATINO): Female: 45 to 54 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie28,SEX BY AGE (HISPANIC OR LATINO): Female: 55 to 64 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie29,SEX BY AGE (HISPANIC OR LATINO): Female: 65 to 74 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie30,SEX BY AGE (HISPANIC OR LATINO): Female: 75 to 84 years: Hispanic or Latino population -- (Estimate)
1,B01001Ie31,SEX BY AGE (HISPANIC OR LATINO): Female: 85 years and over: Hispanic or Latino population -- (Estimate)
1,B02001e1,RACE: Total: Total population -- (Estimate)
1,B02001e2,RACE: Total: White alone: Total population -- (Estimate)
1,B02001e3,RACE: Total: Black or African American alone: Total population -- (Estimate)
1,B02001e4,RACE: Total: American Indian and Alaska Native alone: Total population -- (Estimate)
1,B02001e5,RACE: Total: Asian alone: Total population -- (Estimate)
1,B02001e6,RACE: Total: Native Hawaiian and Other Pacific Islander alone: Total population -- (Estimate)
1,B02001e7,RACE: Total: Some other race alone: Total population -- (Estimate)
1,B02001e8,RACE: Two or more races: Total population -- (Estimate)
1,B03001e1,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN: Total: Total population -- (Estimate)
1,B03001e2,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN: Total: Not Hispanic or Latino: Total population -- (Estimate)
1,B03001e3,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN: Hispanic or Latino: Total population -- (Estimate)
1,B07003e1,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Population 1 year and over in the United States -- (Estimate)
1,B07003e4,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES: Same house 1 year ago: Population 1 year and over in the United States -- (Estimate)
1,B07003e7,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES: Moved within same county: Population 1 year and over in the United States -- (Estimate)
1,B07003e10,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES: Moved from different county within same state: Population 1 year and over in the United States -- (Estimate)
1,B07003e13,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES: Moved from different state: Population 1 year and over in the United States -- (Estimate)
1,B07003e16,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES: Moved from abroad: Population 1 year and over in the United States -- (Estimate)
1,B07004Ae1,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: White alone population 1 year and over in the United States -- (Estimate)
1,B07004Ae2,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Same house 1 year ago: White alone population 1 year and over in the United States -- (Estimate)
1,B07004Ae3,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved within same county: White alone population 1 year and over in the United States -- (Estimate)
1,B07004Ae4,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved from different county within same state: White alone population 1 year and over in the United States -- (Estimate)
1,B07004Ae5,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved from different state: White alone population 1 year and over in the United States -- (Estimate)
1,B07004Ae6,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved from abroad: White alone population 1 year and over in the United States -- (Estimate)
1,B07004Be1,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Black or African American alone population 1 year and over in the United States -- (Estimate)
1,B07004Be2,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Same house 1 year ago: Black or African American alone population 1 year and over in the United States -- (Estimate)
1,B07004Be3,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved within same county: Black or African American alone population 1 year and over in the United States -- (Estimate)
1,B07004Be4,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved from different county within same state: Black or African American alone population 1 year and over in the United States -- (Estimate)
1,B07004Be5,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved from different state: Black or African American alone population 1 year and over in the United States -- (Estimate)
1,B07004Be6,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved from abroad: Black or African American alone population 1 year and over in the United States -- (Estimate)
1,B07004He1,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: White alone, not Hispanic or Latino population 1 year and over in the United States -- (Estimate)"
1,B07004He2,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Same house 1 year ago: White alone, not Hispanic or Latino population 1 year and over in the United States -- (Estimate)"
1,B07004He3,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved within same county: White alone, not Hispanic or Latino population 1 year and over in the United States -- (Estimate)"
1,B07004He4,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved from different county within same state: White alone, not Hispanic or Latino population 1 year and over in the United States -- (Estimate)"
1,B07004He5,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved from different state: White alone, not Hispanic or Latino population 1 year and over in the United States -- (Estimate)"
1,B07004He6,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved from abroad: White alone, not Hispanic or Latino population 1 year and over in the United States -- (Estimate)"
1,B07004Ie1,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Hispanic or Latino population 1 year and over in the United States -- (Estimate)
1,B07004Ie2,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Same house 1 year ago: Hispanic or Latino population 1 year and over in the United States -- (Estimate)
1,B07004Ie3,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved within same county: Hispanic or Latino population 1 year and over in the United States -- (Estimate)
1,B07004Ie4,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved from different county within same state: Hispanic or Latino population 1 year and over in the United States -- (Estimate)
1,B07004Ie5,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES: Total: Moved from different state: Hispanic or Latino population 1 year and over in the United States -- (Estimate)
