Short_Name,Full_Name
B01001Ae31,SEX BY AGE (WHITE ALONE): Female: 85 years and over: People who are White alone -- (Estimate)
B01001Be1,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Total: Black or African American alone -- (Estimate)
B01001Be2,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: Black or African American alone -- (Estimate)
B01001Be3,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: Under 5 years: Black or African American alone -- (Estimate)
B01001Be4,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 5 to 9 years: Black or African American alone -- (Estimate)
B01001Be5,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 10 to 14 years: Black or African American alone -- (Estimate)
B01001Be6,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 15 to 17 years: Black or African American alone -- (Estimate)
B01001Be7,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 18 and 19 years: Black or African American alone -- (Estimate)
B01001Be8,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 20 to 24 years: Black or African American alone -- (Estimate)
B01001Be9,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 25 to 29 years: Black or African American alone -- (Estimate)
B01001Be10,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 30 to 34 years: Black or African American alone -- (Estimate)
B01001Be11,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 35 to 44 years: Black or African American alone -- (Estimate)
B01001Be12,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 45 to 54 years: Black or African American alone -- (Estimate)
B01001Be13,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 55 to 64 years: Black or African American alone -- (Estimate)
B01001Be14,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 65 to 74 years: Black or African American alone -- (Estimate)
B01001Be15,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 75 to 84 years: Black or African American alone -- (Estimate)
B01001Be16,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Male: 85 years and over: Black or African American alone -- (Estimate)
B01001Be17,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: Black or African American alone -- (Estimate)
B01001Be18,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: Under 5 years: Black or African American alone -- (Estimate)
B01001Be19,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 5 to 9 years: Black or African American alone -- (Estimate)
B01001Be20,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 10 to 14 years: Black or African American alone -- (Estimate)
B01001Be21,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 15 to 17 years: Black or African American alone -- (Estimate)
B01001Be22,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 18 and 19 years: Black or African American alone -- (Estimate)
B01001Be23,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 20 to 24 years: Black or African American alone -- (Estimate)
B01001Be24,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 25 to 29 years: Black or African American alone -- (Estimate)
B01001Be25,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 30 to 34 years: Black or African American alone -- (Estimate)
B01001Be26,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 35 to 44 years: Black or African American alone -- (Estimate)
B01001Be27,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 45 to 54 years: Black or African American alone -- (Estimate)
B01001Be28,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 55 to 64 years: Black or African American alone -- (Estimate)
B01001Be29,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 65 to 74 years: Black or African American alone -- (Estimate)
B01001Be30,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 75 to 84 years: Black or African American alone -- (Estimate)
B01001Be31,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE): Female: 85 years and over: Black or African American alone -- (Estimate)
B01001Ce1,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Total: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce2,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce3,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: Under 5 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce4,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 5 to 9 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce5,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 10 to 14 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce6,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 15 to 17 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce7,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 18 and 19 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce8,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 20 to 24 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce9,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 25 to 29 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce10,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 30 to 34 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce11,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 35 to 44 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce12,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 45 to 54 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce13,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 55 to 64 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce14,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 65 to 74 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce15,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 75 to 84 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce16,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Male: 85 years and over: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce17,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce18,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: Under 5 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce19,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 5 to 9 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce20,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 10 to 14 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce21,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 15 to 17 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce22,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 18 and 19 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce23,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 20 to 24 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce24,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 25 to 29 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce25,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 30 to 34 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce26,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 35 to 44 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce27,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 45 to 54 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce28,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 55 to 64 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce29,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 65 to 74 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce30,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 75 to 84 years: People who are American Indian and Alaska Native alone -- (Estimate)
B01001Ce31,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE): Female: 85 years and over: People who are American Indian and Alaska Native alone -- (Estimate)
B01001De1,SEX BY AGE (ASIAN ALONE): Total: People who are Asian alone -- (Estimate)
B01001De2,SEX BY AGE (ASIAN ALONE): Male: People who are Asian alone -- (Estimate)
B01001De3,SEX BY AGE (ASIAN ALONE): Male: Under 5 years: People who are Asian alone -- (Estimate)
B01001De4,SEX BY AGE (ASIAN ALONE): Male: 5 to 9 years: People who are Asian alone -- (Estimate)
B01001De5,SEX BY AGE (ASIAN ALONE): Male: 10 to 14 years: People who are Asian alone -- (Estimate)
B01001De6,SEX BY AGE (ASIAN ALONE): Male: 15 to 17 years: People who are Asian alone -- (Estimate)
B01001De7,SEX BY AGE (ASIAN ALONE): Male: 18 and 19 years: People who are Asian alone -- (Estimate)
B01001De8,SEX BY AGE (ASIAN ALONE): Male: 20 to 24 years: People who are Asian alone -- (Estimate)
B01001De9,SEX BY AGE (ASIAN ALONE): Male: 25 to 29 years: People who are Asian alone -- (Estimate)
B01001De10,SEX BY AGE (ASIAN ALONE): Male: 30 to 34 years: People who are Asian alone -- (Estimate)
B01001De11,SEX BY AGE (ASIAN ALONE): Male: 35 to 44 years: People who are Asian alone -- (Estimate)
B01001De12,SEX BY AGE (ASIAN ALONE): Male: 45 to 54 years: People who are Asian alone -- (Estimate)
B01001De13,SEX BY AGE (ASIAN ALONE): Male: 55 to 64 years: People who are Asian alone -- (Estimate)
B01001De14,SEX BY AGE (ASIAN ALONE): Male: 65 to 74 years: People who are Asian alone -- (Estimate)
B01001De15,SEX BY AGE (ASIAN ALONE): Male: 75 to 84 years: People who are Asian alone -- (Estimate)
B01001De16,SEX BY AGE (ASIAN ALONE): Male: 85 years and over: People who are Asian alone -- (Estimate)
B01001De17,SEX BY AGE (ASIAN ALONE): Female: People who are Asian alone -- (Estimate)
B01001De18,SEX BY AGE (ASIAN ALONE): Female: Under 5 years: People who are Asian alone -- (Estimate)
B01001De19,SEX BY AGE (ASIAN ALONE): Female: 5 to 9 years: People who are Asian alone -- (Estimate)
B01001De20,SEX BY AGE (ASIAN ALONE): Female: 10 to 14 years: People who are Asian alone -- (Estimate)
B01001De21,SEX BY AGE (ASIAN ALONE): Female: 15 to 17 years: People who are Asian alone -- (Estimate)
B01001De22,SEX BY AGE (ASIAN ALONE): Female: 18 and 19 years: People who are Asian alone -- (Estimate)
B01001De23,SEX BY AGE (ASIAN ALONE): Female: 20 to 24 years: People who are Asian alone -- (Estimate)
B01001De24,SEX BY AGE (ASIAN ALONE): Female: 25 to 29 years: People who are Asian alone -- (Estimate)
B01001De25,SEX BY AGE (ASIAN ALONE): Female: 30 to 34 years: People who are Asian alone -- (Estimate)
B01001De26,SEX BY AGE (ASIAN ALONE): Female: 35 to 44 years: People who are Asian alone -- (Estimate)
B01001De27,SEX BY AGE (ASIAN ALONE): Female: 45 to 54 years: People who are Asian alone -- (Estimate)
B01001De28,SEX BY AGE (ASIAN ALONE): Female: 55 to 64 years: People who are Asian alone -- (Estimate)
B01001De29,SEX BY AGE (ASIAN ALONE): Female: 65 to 74 years: People who are Asian alone -- (Estimate)
B01001De30,SEX BY AGE (ASIAN ALONE): Female: 75 to 84 years: People who are Asian alone -- (Estimate)
B01001De31,SEX BY AGE (ASIAN ALONE): Female: 85 years and over: People who are Asian alone -- (Estimate)
B01001Ee1,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Total: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee2,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee3,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: Under 5 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee4,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 5 to 9 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee5,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 10 to 14 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee6,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 15 to 17 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee7,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 18 and 19 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee8,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 20 to 24 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee9,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 25 to 29 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee10,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 30 to 34 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee11,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 35 to 44 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee12,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 45 to 54 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee13,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 55 to 64 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee14,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 65 to 74 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee15,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 75 to 84 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee16,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Male: 85 years and over: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee17,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee18,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: Under 5 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee19,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 5 to 9 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee20,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 10 to 14 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee21,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 15 to 17 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee22,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 18 and 19 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee23,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 20 to 24 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee24,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 25 to 29 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee25,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 30 to 34 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee26,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 35 to 44 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee27,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 45 to 54 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee28,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 55 to 64 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee29,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 65 to 74 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee30,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 75 to 84 years: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Ee31,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE): Female: 85 years and over: People who are Native Hawaiian and Other Pacific Islander alone -- (Estimate)
B01001Fe1,SEX BY AGE (SOME OTHER RACE ALONE): Total: People who are Some Other Race alone -- (Estimate)
B01001Fe2,SEX BY AGE (SOME OTHER RACE ALONE): Male: People who are Some Other Race alone -- (Estimate)
B01001Fe3,SEX BY AGE (SOME OTHER RACE ALONE): Male: Under 5 years: People who are Some Other Race alone -- (Estimate)
B01001Fe4,SEX BY AGE (SOME OTHER RACE ALONE): Male: 5 to 9 years: People who are Some Other Race alone -- (Estimate)
B01001Fe5,SEX BY AGE (SOME OTHER RACE ALONE): Male: 10 to 14 years: People who are Some Other Race alone -- (Estimate)
B01001Fe6,SEX BY AGE (SOME OTHER RACE ALONE): Male: 15 to 17 years: People who are Some Other Race alone -- (Estimate)
B01001Fe7,SEX BY AGE (SOME OTHER RACE ALONE): Male: 18 and 19 years: People who are Some Other Race alone -- (Estimate)
B01001Fe8,SEX BY AGE (SOME OTHER RACE ALONE): Male: 20 to 24 years: People who are Some Other Race alone -- (Estimate)
B01001Fe9,SEX BY AGE (SOME OTHER RACE ALONE): Male: 25 to 29 years: People who are Some Other Race alone -- (Estimate)
B01001Fe10,SEX BY AGE (SOME OTHER RACE ALONE): Male: 30 to 34 years: People who are Some Other Race alone -- (Estimate)
B01001Fe11,SEX BY AGE (SOME OTHER RACE ALONE): Male: 35 to 44 years: People who are Some Other Race alone -- (Estimate)
B01001Fe12,SEX BY AGE (SOME OTHER RACE ALONE): Male: 45 to 54 years: People who are Some Other Race alone -- (Estimate)
B01001Fe13,SEX BY AGE (SOME OTHER RACE ALONE): Male: 55 to 64 years: People who are Some Other Race alone -- (Estimate)
B01001Fe14,SEX BY AGE (SOME OTHER RACE ALONE): Male: 65 to 74 years: People who are Some Other Race alone -- (Estimate)
B01001Fe15,SEX BY AGE (SOME OTHER RACE ALONE): Male: 75 to 84 years: People who are Some Other Race alone -- (Estimate)
B01001Fe16,SEX BY AGE (SOME OTHER RACE ALONE): Male: 85 years and over: People who are Some Other Race alone -- (Estimate)
B01001Fe17,SEX BY AGE (SOME OTHER RACE ALONE): Female: People who are Some Other Race alone -- (Estimate)
B01001Fe18,SEX BY AGE (SOME OTHER RACE ALONE): Female: Under 5 years: People who are Some Other Race alone -- (Estimate)
B01001Fe19,SEX BY AGE (SOME OTHER RACE ALONE): Female: 5 to 9 years: People who are Some Other Race alone -- (Estimate)
B01001Fe20,SEX BY AGE (SOME OTHER RACE ALONE): Female: 10 to 14 years: People who are Some Other Race alone -- (Estimate)
B01001Fe21,SEX BY AGE (SOME OTHER RACE ALONE): Female: 15 to 17 years: People who are Some Other Race alone -- (Estimate)
